Elapsed time = 0.007844 for 1 ranks, 16 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.008158 for 1 ranks, 32 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.016606 for 2 ranks, 1 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.011103 for 2 ranks, 2 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.006609 for 2 ranks, 4 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.005029 for 2 ranks, 8 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.004097 for 2 ranks, 16 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.034575 for 2 ranks, 32 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.009909 for 4 ranks, 1 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.006208 for 4 ranks, 2 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.004273 for 4 ranks, 4 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.002831 for 4 ranks, 8 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.002830 for 4 ranks, 16 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.184854 for 4 ranks, 32 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.006630 for 8 ranks, 1 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.004347 for 8 ranks, 2 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.002587 for 8 ranks, 4 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.006371 for 8 ranks, 8 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.082839 for 8 ranks, 16 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.007912 for 8 ranks, 32 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.003650 for 16 ranks, 1 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.002572 for 16 ranks, 2 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.001435 for 16 ranks, 4 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.084149 for 16 ranks, 8 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.003858 for 16 ranks, 16 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.006822 for 16 ranks, 32 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.003659 for 32 ranks, 1 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.002052 for 32 ranks, 2 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.002629 for 32 ranks, 4 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.003869 for 32 ranks, 8 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.005269 for 32 ranks, 16 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.006193 for 32 ranks, 32 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.162164 for 1 ranks, 1 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.107570 for 1 ranks, 2 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.062486 for 1 ranks, 4 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.044797 for 1 ranks, 8 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.037224 for 1 ranks, 16 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.039419 for 1 ranks, 32 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.083486 for 2 ranks, 1 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.052543 for 2 ranks, 2 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.032137 for 2 ranks, 4 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.022769 for 2 ranks, 8 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.017669 for 2 ranks, 16 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.118171 for 2 ranks, 32 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.042951 for 4 ranks, 1 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.026219 for 4 ranks, 2 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.016232 for 4 ranks, 4 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.012320 for 4 ranks, 8 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.013156 for 4 ranks, 16 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.379267 for 4 ranks, 32 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.024636 for 8 ranks, 1 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.013432 for 8 ranks, 2 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.007773 for 8 ranks, 4 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.004952 for 8 ranks, 8 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.051001 for 8 ranks, 16 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.023532 for 8 ranks, 32 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.013156 for 16 ranks, 1 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.007793 for 16 ranks, 2 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.007400 for 16 ranks, 4 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.130358 for 16 ranks, 8 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.010669 for 16 ranks, 16 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.022635 for 16 ranks, 32 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.007820 for 32 ranks, 1 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.005699 for 32 ranks, 2 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.057482 for 32 ranks, 4 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.007498 for 32 ranks, 8 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.011011 for 32 ranks, 16 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.014301 for 32 ranks, 32 threads, for generating 50 patterns with a pattern size of 100 
Elapsed time = 0.337835 for 1 ranks, 1 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.213060 for 1 ranks, 2 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.127574 for 1 ranks, 4 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.091723 for 1 ranks, 8 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.075560 for 1 ranks, 16 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.076173 for 1 ranks, 32 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.172522 for 2 ranks, 1 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.102384 for 2 ranks, 2 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.063604 for 2 ranks, 4 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.042164 for 2 ranks, 8 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.033925 for 2 ranks, 16 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.039204 for 2 ranks, 32 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.083335 for 4 ranks, 1 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.048555 for 4 ranks, 2 threads, for generating 100 patterns with a pattern size of 100 
Elapsed time = 0.032081 for 4 ranks, 4 threads, for generating 100 patterns with a pattern size of 100 
